AAL					
	21.88	22.04	20.57	20.58	1813300
	20.92	21.05	19.93	20.28	3438800
	
					
PRTS					
	16.22	16.73	15.60	16.49	2184100
	16.37	18.26	16.25	17.39	7259500
	17.57	18.22	17.13	17.61	2786600
	17.74	19.48	17.41	18.99	3846900
	19.00	19.66	18.59	19.12	2130600
	19.86	21.94	19.76	20.63	4783400
	20.89	22.09	20.67	21.87	2151000
	22.28	23.26	20.76	21.34	3159400
	21.39	21.95	20.86	20.97	1341700
	20.75	20.75	19.61	20.60	1175400
	21.42	22.29	21.16	21.40	1690600
	21.15	21.28	19.60	19.92	1848200
	19.74	20.11	18.88	19.22	1342400
	19.52	19.91	19.02	19.50	1630800
	19.21	19.48	18.45	18.66	1617200
	17.94	18.30	16.76	18.13	1692900
	18.30	18.37	17.43	17.84	1196700
	17.99	18.39	16.81	17.30	1495400
	17.25	18.18	17.22	17.73	1490400
	
					
ZIXI					
	8.29	8.35	8.14	8.32	357500
	8.59	9.12	8.55	8.88	677300
	8.93	9.12	8.73	8.78	443700
	8.81	8.94	8.70	8.90	773400
	9.01	9.82	8.99	9.77	1097500
	9.84	10.15	9.76	9.96	890200
	9.88	10.20	9.67	10.09	730700
	10.19	10.27	9.75	10.00	647900
	10.06	10.13	9.74	9.88	480100
	9.83	10.08	9.65	10.02	397300
	10.00	10.17	9.68	9.81	615600
	9.74	9.87	9.36	9.84	433400
	9.74	10.08	9.63	9.95	394800
	10.10	10.37	9.94	10.13	622000
	10.07	10.28	9.86	10.00	559600
	9.88	9.88	9.11	9.74	724200
	9.79	9.86	9.29	9.59	593500
	9.60	9.62	9.11	9.26	386800
	8.90	9.05	7.35	7.38	2722700
	
					
ZNGA					
	10.35	10.35	9.98	10.14	14032300
	10.24	10.39	10.08	10.33	16966500
	10.38	10.40	10.20	10.26	15321500
	10.32	10.44	10.16	10.29	11404300
	10.36	10.77	10.30	10.68	23508500
	11.00	11.19	10.82	11.02	43368600
	11.48	11.49	11.08	11.33	32543500
	11.55	11.58	11.02	11.16	33663900
	11.58	12.27	11.11	11.98	60079600
	11.88	12.00	11.49	11.60	30291600
	11.67	11.70	11.34	11.50	27078600
	11.45	11.58	11.31	11.54	16318500
	11.48	12.30	11.35	12.10	48698100
	12.24	12.32	11.99	12.18	26393800
	11.95	12.08	11.62	11.69	21868700
	11.27	11.46	10.92	11.40	32173300
	11.35	11.47	11.25	11.29	14240300
	11.20	11.39	11.02	11.04	12682400
	11.11	11.48	10.97	11.15	30022600
					
END					
